alpha,beta,gamma,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,screen_verdict
-0.5,1.0,0.0,1.0,AG,-0.3526562941029581,0.0,FAIL
-0.5,1.0,0.5,0.9956637821256749,AG,-0.34830055403630716,0.0,FAIL
-0.5,1.0,1.0,0.9893805458769949,SO_red,-0.3390736763010445,0.0,FAIL
-0.5,1.0,2.0,0.9608254592664356,SO_red,-0.3062844855155586,0.0,FAIL
0.0,-1.0,0.0,1.0,H,-0.3520337463900293,0.0,FAIL
0.0,-1.0,0.5,0.9991221483047164,R,-0.35449834025924526,0.0,FAIL
0.0,-1.0,1.0,0.9894725438821985,EE,-0.3520210631396332,0.0,FAIL
0.0,-1.0,2.0,0.9574335400390593,SO_red,-0.33103512156366954,0.0,FAIL
0.0,-0.5,0.0,0.9999999999999998,SCI,-0.3558579019073377,0.0,FAIL
0.0,-0.5,0.5,0.998557340910522,EE,-0.3564086394376026,0.0,FAIL
0.0,-0.5,1.0,0.993050338912425,AG,-0.3523379612998581,0.0,FAIL
0.0,-0.5,2.0,0.9689762082709515,SO_red,-0.32907588429693796,0.0,FAIL
0.0,0.0,0.0,0.9988619702992704,EE,-0.3565733220683015,0.0,FAIL
0.0,0.0,0.5,0.9994182882148601,AG,-0.35548997733736176,0.0,FAIL
0.0,0.0,1.0,0.992521215943552,SO,-0.3500990998161586,0.0,FAIL
0.0,0.0,2.0,0.9749882886122228,SO_red,-0.3250763328755987,0.0,FAIL
0.0,0.5,0.0,0.9996354957739068,ABS,-0.35486482544233783,0.0,FAIL
0.0,0.5,0.5,0.9986760667381087,SO,-0.35247375765224215,0.0,FAIL
0.0,0.5,1.0,0.9949047648045594,SO_red,-0.3460522325391685,0.0,FAIL
0.0,0.5,2.0,0.9774264640122996,SO_red,-0.3197290933146487,0.0,FAIL
0.0,1.0,0.0,1.0,M1,-0.3511159793764629,0.0,FAIL
0.0,1.0,0.5,0.9992016799741599,SO,-0.34775393922305226,0.0,FAIL
0.0,1.0,1.0,0.9977260717029777,SO_red,-0.3405935408774972,0.0,FAIL
0.0,1.0,2.0,0.9774204409591243,SO_red,-0.31341483307461643,0.0,FAIL
0.5,-1.0,0.0,1.0,GA,-0.3584437860815606,0.0,FAIL
0.5,-1.0,0.5,0.9993017143176008,EE,-0.35999776387792076,0.0,FAIL
0.5,-1.0,1.0,0.9977070453699136,AG,-0.3579206427611795,0.0,FAIL
0.5,-1.0,2.0,0.9829141806968804,SO_red,-0.34053708962375007,0.0,FAIL
0.5,-0.5,0.0,0.9988060398623805,ABS,-0.35774907044679155,0.0,FAIL
0.5,-0.5,0.5,0.9990312634450059,ABS,-0.3579143672743002,0.0,FAIL
0.5,-0.5,1.0,0.9973999434406529,SO,-0.35468089320274426,0.0,FAIL
0.5,-0.5,2.0,0.986930455780929,SO_red,-0.3357870046169834,0.0,FAIL
0.5,0.0,0.0,0.9989435040700191,M1,-0.35476070502064994,0.0,FAIL
0.5,0.0,0.5,0.9996251692027329,SO,-0.3538721246096886,0.0,FAIL
0.5,0.0,1.0,0.9977328679648809,SO,-0.34978211299910444,0.0,FAIL
0.5,0.0,2.0,0.9882168334360791,SO_red,-0.32983897308656523,0.0,FAIL
0.5,0.5,0.0,0.9989629791744115,M1,-0.34969446898969386,0.0,FAIL
0.5,0.5,0.5,0.999043856517144,SO,-0.34807692565857395,0.0,FAIL
0.5,0.5,1.0,0.9992067519378226,SO_red,-0.3434227738794664,0.0,FAIL
0.5,0.5,2.0,0.9874230423939294,SO_red,-0.322891626997812,0.0,FAIL
0.5,1.0,0.0,0.9994000259530567,M2,-0.34265787959747257,0.0,FAIL
0.5,1.0,0.5,0.9985287313087671,F,-0.34060760094135106,0.0,FAIL
0.5,1.0,1.0,0.999220734432642,F,-0.3356629091651457,0.0,FAIL
0.5,1.0,2.0,0.9853353729554511,F,-0.31500423175296727,0.0,FAIL
1.0,-1.0,0.0,0.9970620780209696,ABS,-0.3568585033095562,0.0,FAIL
