n,n_trees,alpha,beta,gamma,w_min,w_max,w_path,w_star,min_is_path,max_is_star,min_is_star,max_is_path,classical_match,argmin_degree_seq,argmax_degree_seq
10,106,0.0,0.0,1.0,9.791224850172178,20.02986835643221,9.791224850172178,20.02986835643221,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,1,1","9,1,1,1,1,1,1,1,1,1"
10,106,0.0,0.0,2.0,10.895468082109353,44.57729181955604,10.895468082109353,44.57729181955604,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,1,1","9,1,1,1,1,1,1,1,1,1"
10,106,1.0,1.0,1.0,128.74734910103308,1802.688152078899,128.74734910103308,1802.688152078899,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,1,1","9,1,1,1,1,1,1,1,1,1"
10,106,-1.0,-1.0,1.0,0.22255409284924685,1.1117805029972674,0.9027041416953632,0.22255409284924685,False,False,True,False,neither,"9,1,1,1,1,1,1,1,1,1","3,3,2,2,2,2,1,1,1,1"
11,235,1.0,0.0,0.0,36.0,100.0,36.0,100.0,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,1,1","10,1,1,1,1,1,1,1,1,1,1"
11,235,-0.5,0.0,0.0,3.1622776601683795,5.414213562373096,5.414213562373096,3.1622776601683795,False,False,True,True,"S_n=min,P_n=max","10,1,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,2,1,1"
11,235,0.0,-0.5,0.0,3.015113445777637,5.154700538379252,5.154700538379252,3.015113445777637,False,False,True,True,"S_n=min,P_n=max","10,1,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,2,1,1"
11,235,0.0,-1.0,0.0,0.9090909090909093,2.6666666666666665,2.6666666666666665,0.9090909090909093,False,False,True,True,"S_n=min,P_n=max","10,1,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,2,1,1"
11,235,0.0,0.0,1.0,10.791224850172178,22.663754066284664,10.791224850172178,22.663754066284664,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,1,1","10,1,1,1,1,1,1,1,1,1,1"
11,235,0.0,0.0,2.0,11.895468082109353,51.36457483770346,11.895468082109353,51.36457483770346,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,1,1","10,1,1,1,1,1,1,1,1,1,1"
11,235,1.0,1.0,1.0,144.74734910103308,2493.012947291313,144.74734910103308,2493.012947291313,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,1,1","10,1,1,1,1,1,1,1,1,1,1"
11,235,-1.0,-1.0,1.0,0.2060341278753152,1.2726577120423515,0.9652041416953632,0.2060341278753152,False,False,True,False,neither,"10,1,1,1,1,1,1,1,1,1,1","5,2,2,2,2,2,1,1,1,1,1"
12,551,1.0,0.0,0.0,40.0,121.0,40.0,121.0,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,2,1,1","11,1,1,1,1,1,1,1,1,1,1,1"
12,551,-0.5,0.0,0.0,3.3166247903554007,5.914213562373096,5.914213562373096,3.3166247903554007,False,False,True,True,"S_n=min,P_n=max","11,1,1,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,2,2,1,1"
12,551,0.0,-0.5,0.0,3.175426480542942,5.654700538379252,5.654700538379252,3.175426480542942,False,False,True,True,"S_n=min,P_n=max","11,1,1,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,2,2,1,1"
12,551,0.0,-1.0,0.0,0.9166666666666667,2.9166666666666665,2.9166666666666665,0.9166666666666667,False,False,True,True,"S_n=min,P_n=max","11,1,1,1,1,1,1,1,1,1,1,1","2,2,2,2,2,2,2,2,2,2,1,1"
12,551,0.0,0.0,1.0,11.791224850172178,25.310734799821077,11.791224850172178,25.310734799821077,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,2,1,1","11,1,1,1,1,1,1,1,1,1,1,1"
12,551,0.0,0.0,2.0,12.895468082109353,58.23939055517034,12.895468082109353,58.23939055517034,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,2,1,1","11,1,1,1,1,1,1,1,1,1,1,1"
12,551,1.0,1.0,1.0,160.74734910103308,3341.016993576382,160.74734910103308,3341.016993576382,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,2,2,2,2,2,2,1,1","11,1,1,1,1,1,1,1,1,1,1,1"
12,551,-1.0,-1.0,1.0,0.19174799090773548,1.3453958979561937,1.0277041416953632,0.19174799090773548,False,False,True,False,neither,"11,1,1,1,1,1,1,1,1,1,1,1","4,3,2,2,2,2,2,1,1,1,1,1"
